,Name,Altitude,Longitude,Latitude,StartFreq,EndFreq,Diff,Total,Diff_Norm
0,Hollywood Shopping Center,42,-76.92134003,39.01370958,845,871,-26,1716,-10.757310602765983
1,Greenbelt Metro West,30,-76.91385902,39.01054608,414,444,-30,858,-22.229903453074712
2,Monument Village,40,-76.93052213,39.004600700000005,950,726,224,1676,236.7051578672697
3,Courtyards,50,-76.94209265,39.00230205,787,802,-15,1589,-0.9648256066800514
4,Berwyn Trolley Trail,31,-76.92661822,38.99468943,2171,2150,21,4321,58.625467513264084
5,Eppley,47,-76.94618852,38.99331566,6315,6164,151,12479,258.87134034965584
6,North Stem,29,-76.937224,38.99335793,1411,1932,-521,3343,-487.1895798904063
7,Cambria Suites,31,-76.93280019,38.99267913,1255,1169,86,2424,106.45775419674692
8,University View,31,-76.93331235,38.99295941,2536,2644,-108,5180,-61.72942506740901
9,Regents Drive,30,-76.94075679,38.98997927,5892,6366,-474,12258,-362.593615725842
10,Northgate,30,-76.93414272,38.9906473,4218,4767,-549,8985,-465.57646342524185
11,The Hotel,30,-76.93609032,38.98665411,670,808,-138,1478,-123.85982430199181
12,Stamp Student Union,50,-76.94402642,38.98737716,3710,2825,885,6535,934.4381142906846
13,Mowatt Lane,50,-76.94884827,38.984548600000004,3043,2999,44,6042,96.48315212664147
14,McKeldin Mall,50,-76.94269883,38.98519943,2646,2703,-57,5349,-9.696912237975084
15,Ritchie,30,-76.93663224,38.98537121,1929,2306,-377,4235,-336.64449856484316
16,South Campus Dining Hall,44,-76.94361309,38.98242508,4338,4080,258,8418,329.40088718796187
17,City Hall,30,-76.93777642,38.9813651,3379,3748,-369,7127,-303.4091850047839
18,Guilford Drive,30,-76.93870751,38.97770288,2639,2496,143,5135,186.6805427502827
19,College Park Metro West,22,-76.9290791,38.97812915,5499,5709,-210,11208,-110.09125858919742
20,Wells Parkway,31,-76.94618909,38.97374751,232,338,-106,570,-100.0849265025659
21,Queens Chapel,35,-76.93821328,38.97279388,465,297,168,762,173.1975645820649
22,Riversdale Park,35,-76.93655846,38.97061883,627,641,-14,1268,-2.782360615812877
23,Art Walk Station,16,-76.92346671,38.96981135,508,500,8,1008,16.750108724014922
